Variable;Tipo;Descripción
HAS_LIVING_ROOM;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_PATIO;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_CLOSET;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_TERRACE;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_HALF_BATH;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_DRESSING_ROOM;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_CINEMA_HALL;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_PLAYGROUND;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_LIFT;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_BUSINESS_CENTER;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_TENNIS_COURT;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_GUEST_PARKING;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_GYM;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_COMMON_LAUNDRY;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_GRILL;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_SWIMMING_POOL;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_PLAYROOM;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_ROOF_GARDEN;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_PARTY_ROOM;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_MULTIPURPOSE_ROOM;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_SECURITY;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
DISPOSICION_FRENTE;Binaria;Disposición del inmueble al frente (1) o en otra posición (0)
retail_and_recreation_percent_change_from_baseline;Numérica;Movilidad estandarizada zonas de comercio minoristas y/o esparcimiento
grocery_and_pharmacy_percent_change_from_baseline;Numérica;Movilidad estandarizada  comercios de bienes de primera necesidad.
parks_percent_change_from_baseline;Numérica;Movilidad estandarizada en parques y plazas.
transit_stations_percent_change_from_baseline;Numérica;Movilidad estandarizada en nodos de transporte.
workplaces_percent_change_from_baseline;Numérica;Movilidad estandarizada en lugares de trabajo.
residential_percent_change_from_baseline;Numérica;Movilidad estandarizada en zonas residenciales.
carcel;Numérica;Distancia en metros a la cárcel más cercana.
subte;Numérica;Distancia en metros a la estación de subte más cercana.
trenes;Numérica;Distancia en metros a la estación de tren más cercana.
espacios_verdes;Numérica;Distancia en metros a la espacio verde más próximo
universidades;Numérica;Distancia en metros a la universidad más cercana.
salud;Numérica;Distancia en metros al hospital más cercano.
colectivos;Numérica;Distancia en metros a la parada de colectivo más cercana.
BARRIO_AGRONOMIA;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_ALMAGRO;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_BALVANERA;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_BARRACAS;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_BELGRANO;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_BOCA;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_BOEDO;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_CABALLITO;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_CHACARITA;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_COGHLAN;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_COLEGIALES;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_CONSTITUCION;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_FLORES;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_FLORESTA;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_LINIERS;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_MATADEROS;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_MONSERRAT;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_MONTE.CASTRO;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_NUEVA.POMPEYA;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_NUÃ‘EZ;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_PALERMO;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_PARQUE.AVELLANEDA;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_PARQUE.CHACABUCO;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_PARQUE.CHAS;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_PARQUE.PATRICIOS;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_PATERNAL;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_PUERTO.MADERO;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_RECOLETA;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_RETIRO;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_SAAVEDRA;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_SAN.CRISTOBAL;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_SAN.NICOLAS;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_SAN.TELMO;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_VELEZ.SARSFIELD;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_VERSALLES;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_VILLA.CRESPO;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_VILLA.DEL.PARQUE;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_VILLA.DEVOTO;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_VILLA.GRAL..MITRE;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_VILLA.LUGANO;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_VILLA.LURO;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_VILLA.ORTUZAR;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_VILLA.PUEYRREDON;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_VILLA.REAL;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_VILLA.RIACHUELO;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_VILLA.SANTA.RITA;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_VILLA.SOLDATI;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
BARRIO_VILLA.URQUIZA;Binaria;Ubicación dentro del barrio (1) o fuera de sus límites (0)
